# F-004 Wave Recognition Result
# Date: 2026-02-22 18:03:50
# Image dir: /home/ogu4/git/shakeop/data/test_fixtures/wave
# Threshold: 23
filename	result	confidence
extra/vlcsnap-2026-02-22-17h36m07s995.png	EXTRA	1.0000
extra/vlcsnap-2026-02-22-17h36m13s096.png	EXTRA	0.8281
extra/vlcsnap-2026-02-22-17h36m27s090.png	EXTRA	0.7344
extra/vlcsnap-2026-02-22-17h36m32s702.png	EXTRA	0.7969
extra/vlcsnap-2026-02-22-17h36m40s380.png	EXTRA	0.8438
negative/vlcsnap-2026-02-22-17h07m25s974.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h10m17s346.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h10m36s603.png	NONE	0.5312
negative/vlcsnap-2026-02-22-17h10m41s230.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h10m45s236.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h10m48s615.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h10m54s284.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h11m03s567.png	NONE	0.5625
negative/vlcsnap-2026-02-22-17h11m09s532.png	NONE	0.5781
negative/vlcsnap-2026-02-22-17h11m15s114.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h11m17s727.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h11m21s126.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h11m26s334.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h11m31s005.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h16m35s025.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h23m17s706.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h23m22s750.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h23m35s622.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h23m38s377.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h23m45s387.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h35m17s308.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h35m19s893.png	NONE	0.4531
negative/vlcsnap-2026-02-22-17h35m23s258.png	NONE	0.4531
