# F-005 Extra Wave Recognition Result
# Date: 2026-02-23 14:58:25
# Image dir: /home/ogu4/git/shakeop/data/test_fixtures/wave
# Threshold: 116
filename	result	confidence
extra/vlcsnap-2026-02-22-17h36m07s995.png	EXTRA	1.0000
extra/vlcsnap-2026-02-22-17h36m13s096.png	EXTRA	0.7891
extra/vlcsnap-2026-02-22-17h36m27s090.png	EXTRA	0.7188
extra/vlcsnap-2026-02-22-17h36m32s702.png	EXTRA	0.7852
extra/vlcsnap-2026-02-22-17h36m40s380.png	EXTRA	0.8047
extra/vlcsnap-2026-02-23-14h38m54s167.png	EXTRA	0.8125
extra/vlcsnap-2026-02-23-14h39m18s405.png	EXTRA	0.8164
extra/vlcsnap-2026-02-23-14h39m21s485.png	EXTRA	0.7930
extra/vlcsnap-2026-02-23-14h39m23s911.png	EXTRA	0.7891
extra/vlcsnap-2026-02-23-14h39m27s610.png	EXTRA	0.7656
extra/vlcsnap-2026-02-23-14h39m33s165.png	EXTRA	0.7891
extra/vlcsnap-2026-02-23-14h39m41s710.png	EXTRA	0.7070
extra/vlcsnap-2026-02-23-14h39m55s414.png	EXTRA	0.8164
extra/vlcsnap-2026-02-23-14h40m00s822.png	EXTRA	0.8125
extra/vlcsnap-2026-02-23-14h40m16s033.png	EXTRA	0.7695
extra/vlcsnap-2026-02-23-14h40m58s760.png	EXTRA	0.8281
extra/vlcsnap-2026-02-23-14h41m04s666.png	EXTRA	0.7852
extra/vlcsnap-2026-02-23-14h44m01s915.png	EXTRA	0.8125
extra/vlcsnap-2026-02-23-14h44m06s999.png	EXTRA	0.7461
extra/vlcsnap-2026-02-23-14h44m11s711.png	EXTRA	0.7891
extra/vlcsnap-2026-02-23-14h44m17s557.png	EXTRA	0.8008
extra/vlcsnap-2026-02-23-14h44m28s025.png	EXTRA	0.8086
extra/vlcsnap-2026-02-23-14h44m33s354.png	EXTRA	0.8164
extra/vlcsnap-2026-02-23-14h44m37s707.png	EXTRA	0.7852
extra/vlcsnap-2026-02-23-14h44m52s117.png	EXTRA	0.8125
extra/vlcsnap-2026-02-23-14h45m06s438.png	EXTRA	0.7891
extra/vlcsnap-2026-02-23-14h45m15s236.png	EXTRA	0.8281
extra/vlcsnap-2026-02-23-14h45m21s300.png	EXTRA	0.8242
extra/vlcsnap-2026-02-23-14h45m26s908.png	EXTRA	0.7891
extra/vlcsnap-2026-02-23-14h45m27s050.png	EXTRA	0.7891
extra/vlcsnap-2026-02-23-14h45m31s963.png	EXTRA	0.7734
extra/vlcsnap-2026-02-23-14h45m46s468.png	EXTRA	0.8242
extra/vlcsnap-2026-02-23-14h46m01s474.png	EXTRA	0.7656
extra/vlcsnap-2026-02-23-14h46m10s886.png	EXTRA	0.7500
extra/vlcsnap-2026-02-23-14h46m20s225.png	EXTRA	0.7969
